,Name,Population,Total Enrolled,City,State,Latitude,Longitude,Cluster
3060,HULT INTERNATIONAL BUSINESS SCHOOL,2091,1814,CAMBRIDGE,MA,42.36993026000005,-71.07073746999998,236
3061,WASHINGTON UNIVERSITY IN ST LOUIS,32351,15449,SAINT LOUIS,MO,38.64812499200008,-90.31163890699997,341
3062,ST. PETER'S HOSPITAL COLLEGE OF NURSING,158,135,ALBANY,NY,42.674068385000055,-73.74882102199996,427
3063,GOVERNORS STATE UNIVERSITY,5685,4650,UNIVERSITY PARK,IL,41.44910273600004,-87.71644108699996,374
3064,NORTH IDAHO COLLEGE,5673,4737,COEUR D'ALENE,ID,47.67645872400004,-116.79891326899997,-1
3065,DALTON STATE COLLEGE,5197,4794,DALTON,GA,34.77496,-85.00289,-1
3066,COLORADO COLLEGE,2964,2050,COLORADO SPRINGS,CO,38.84885428300004,-104.82267810899998,217
3067,BORNER'S BARBER COLLEGE,33,26,LOS ANGELES,CA,33.950381048000054,-118.30873049999997,15
3068,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE,896,799,MIAMI LAKES,FL,25.916127775000064,-80.29513009999994,397
3069,BRESCIA UNIVERSITY,1186,986,OWENSBORO,KY,37.76883459600003,-87.11238370199999,310
3070,J MICHAEL HARROLD BEAUTY ACADEMY,113,102,TERRE HAUTE,IN,39.470358643000054,-87.38339107199994,177
3071,NEW YORK ACADEMY OF ART,211,97,NEW YORK,NY,40.718388041000026,-74.00601856899993,369
3072,BOARD OF TRUSTEES-MISSISSIPPI STATE INSTITUTIONS OF HIGHER LEARNING,70,-999,JACKSON,MS,32.33885853000004,-90.14468875799997,302
3073,HILLYARD TECHNICAL CENTER,-999,-999,SAINT JOSEPH,MO,39.76802175300003,-94.80872124999996,371
3074,WHITE MOUNTAINS COMMUNITY COLLEGE,801,649,BERLIN,NH,44.503493767000066,-71.15853532599994,-1
3075,MONTGOMERY COMMUNITY COLLEGE,908,679,TROY,NC,35.36710677200006,-79.87000491899994,-1
3076,ARIZONA COLLEGE-GLENDALE,569,524,GLENDALE,AZ,33.56636020600007,-112.15423273899995,34
3077,ST LOUIS COLLEGE OF HEALTH CAREERS-FENTON,581,520,FENTON,MO,38.54463473900006,-90.47090382099998,341
3078,FLORIDA EDUCATION INSTITUTE,263,239,MIAMI,FL,25.763250239000058,-80.29049581799995,397
3079,PAUL MITCHELL THE SCHOOL-JERSEY SHORE,67,61,BRICK,NJ,40.06242052500005,-74.14361234799998,369
3080,NORTHWEST COLLEGE-CLACKAMAS,56,47,HAPPY VALLEY,OR,45.43853273800005,-122.576902481,117
3081,UNIVERSITY OF THE VIRGIN ISLANDS,2459,1838,CHARLOTTE AMALIE,VI,18.344193,-64.972866,-1
3082,CLOYD'S BEAUTY SCHOOL 3 INC,82,75,MONROE,LA,32.53270758100007,-92.08091842899995,229
3083,BANK STREET COLLEGE OF EDUCATION,963,599,NEW YORK,NY,40.805603949000044,-73.96664296299997,369
3084,HARRIS SCHOOL OF BUSINESS-SANFORD CAMPUS,-999,-999,SANFORD,ME,43.40207417500005,-70.70634083599998,-1
3085,NEW COMMUNITY CAREER & TECHNICAL INSTITUTE,108,81,NEWARK,NJ,40.73855044900006,-74.19360780399995,369
3086,ROCKFORD UNIVERSITY,1563,1272,ROCKFORD,IL,42.26958139200008,-89.01853473099999,413
3087,SAINT FRANCIS UNIVERSITY,3330,2769,LORETTO,PA,40.50453624900007,-78.64091026499995,-1
3088,BAKER COLLEGE,7519,6028,OWOSSO,MI,42.97476420000004,-83.69467906699998,408
3089,GUILFORD COLLEGE,1754,1429,GREENSBORO,NC,36.092562592000036,-79.88884786799997,338
3090,YESHIVAH GEDOLAH RABBINICAL COLLEGE,53,48,MIAMI BEACH,FL,25.78244469200007,-80.14133357099996,397
3091,UNIVERSITY OF ALASKA SYSTEM OF HIGHER EDUCATION,208,-999,FAIRBANKS,AK,64.85844414400003,-147.82870058499998,-1
3092,JOHNSON UNIVERSITY FLORIDA,227,160,KISSIMMEE,FL,28.30186238300007,-81.36322286499995,399
3093,HARRIS-STOWE STATE UNIVERSITY,1803,1400,SAINT LOUIS,MO,38.63174374000005,-90.224288,341
3094,NORTH AMERICAN UNIVERSITY,869,785,STAFFORD,TX,29.646293,-95.588146,364
3095,PIMA MEDICAL INSTITUTE-CHULA VISTA,820,737,CHULA VISTA,CA,32.61914779500006,-117.09301361799999,342
3096,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,434,341,COLUMBUS,OH,40.102441602000056,-82.98873293899999,234
3097,PLATT COLLEGE-MILLER-MOTTE TECHNICAL-CHATTANOOGA,396,351,CHATTANOOGA,TN,35.03426,-85.181915,212
3098,ADVANCED COLLEGE,115,59,SOUTH GATE,CA,33.91538258300005,-118.15793963799996,15
3099,CES COLLEGE,109,93,BURBANK,CA,34.180401,-118.303297,15
3100,SKAGIT VALLEY COLLEGE,4717,4227,MOUNT VERNON,WA,48.43723542400005,-122.31019873099996,-1
3101,DELAWARE VALLEY UNIVERSITY,2775,2303,DOYLESTOWN,PA,40.29794134800005,-75.15830907499998,52
3102,PALO ALTO COLLEGE,11760,11193,SAN ANTONIO,TX,29.32292533900005,-98.54671279099995,99
3103,BUTLER BEAUTY ACADEMY-NEW CASTLE BEAUTY ACADEMY,27,23,NEW CASTLE,PA,40.999293,-80.34192,417
3104,FORTIS COLLEGE-SMYRNA,758,678,SMYRNA,GA,33.900219,-84.543117,284
3105,CARRINGTON COLLEGE-CITRUS HEIGHTS,235,217,CITRUS HEIGHTS,CA,38.67998304900004,-121.29421021799999,209
3106,BERKELEY SCHOOL OF THEOLOGY,65,42,BERKELEY,CA,37.86525248500004,-122.25614855899994,353
3107,CLOVIS ADULT EDUCATION,541,507,CLOVIS,CA,36.834463404000076,-119.68990675599997,88
3108,PEPPERDINE UNIVERSITY,11626,9554,MALIBU,CA,34.04168348800005,-118.70938044399998,-1
3109,CALIFORNIA STATE UNIVERSITY-MONTEREY BAY,8415,7409,SEASIDE,CA,36.65423783800003,-121.79946386199998,353
3110,BARNES-JEWISH COLLEGE GOLDFARB SCHOOL OF NURSING,786,627,SAINT LOUIS,MO,38.63722641800007,-90.25868535999996,341
3111,INTERIOR DESIGNERS INSTITUTE,171,144,NEWPORT BEACH,CA,33.641392515000064,-117.86572185199998,15
3112,SOUTH ARKANSAS COMMUNITY COLLEGE,1439,1253,EL DORADO,AR,33.20944563000006,-92.66608688699995,-1
3113,SANTIAGO CANYON COLLEGE,9673,9003,ORANGE,CA,33.79544894000003,-117.76676164199995,15
3114,AUGUSTANA COLLEGE,3047,2389,ROCK ISLAND,IL,41.50316679300005,-90.54827601499994,343
3115,DALLAS THEOLOGICAL SEMINARY,2739,2447,DALLAS,TX,32.79430047900007,-96.77995719699999,335
3116,URSULINE COLLEGE,1372,1100,PEPPER PIKE,OH,41.496437438000044,-81.46460846799994,128
3117,RICHPORT TECHNICAL COLLEGE,78,60,GURABO,PR,18.25478499600007,-65.97290424099998,401
3118,DUTCHESS BOCES-PRACTICAL NURSING PROGRAM,91,81,POUGHKEEPSIE,NY,41.742608767000036,-73.86658612599996,312
3119,OMEGA INSTITUTE OF COSMETOLOGY,63,55,HOUMA,LA,29.60271215700004,-90.75235616299994,237
3120,BEIS MEDRASH HEICHAL DOVID,195,183,FAR ROCKAWAY,NY,40.59682686800005,-73.75150881099995,369
3121,CHARLOTTE CHRISTIAN COLLEGE AND THEOLOGICAL SEMINARY,226,182,CHARLOTTE,NC,35.24299941400005,-80.80252730699993,269
3122,AVEDA INSTITUTE-SOUTH FLORIDA,585,506,DAVIE,FL,26.070443,-80.251759,397
3123,FORTIS COLLEGE-LANDOVER,-999,-999,LANDOVER,MD,38.94993280600005,-76.86639265499997,422
3124,SALON SUCCESS ACADEMY-RIVERSIDE,133,125,RIVERSIDE,CA,33.94319087900004,-117.39111346799996,15
3125,SANTA BARBARA BUSINESS COLLEGE-BAKERSFIELD,159,99,BAKERSFIELD,CA,35.35954376600006,-119.06126351299997,330
3126,SOUTHEASTERN TECHNICAL INSTITUTE,166,120,SOUTH EASTON,MA,42.01031326700007,-71.08121923299996,139
3127,SAINT PAUL COLLEGE,6259,5823,SAINT PAUL,MN,44.94920027200004,-93.10966398599999,373
3128,HIBBING COMMUNITY COLLEGE,1066,913,HIBBING,MN,47.42227526600004,-92.92105171699995,-1
3129,ANOKA-RAMSEY COMMUNITY COLLEGE,8964,8482,COON RAPIDS,MN,45.17297823800004,-93.35169704699996,-1
3130,VENUS BEAUTY ACADEMY,87,78,SHARON HILL,PA,39.908714892000035,-75.27310492399994,52
3131,WILSON COLLEGE,1776,1535,CHAMBERSBURG,PA,39.95015490700007,-77.64970875099993,279
3132,LOUISIANA STATE UNIVERSITY-SHREVEPORT,10422,9955,SHREVEPORT,LA,32.42876759500007,-93.70376165599998,49
3133,ST CHARLES COMMUNITY COLLEGE,6721,6014,COTTLEVILLE,MO,38.76133896400006,-90.64155514099997,341
3134,THE COLLEGE OF NEW JERSEY,9439,7783,EWING,NJ,40.26874152700003,-74.77741149999997,52
3135,PETS PLAYGROUND GROOMING SCHOOL,17,13,POMPANO BEACH,FL,26.248037386000078,-80.10059224299994,397
3136,WOMEN'S INSTITUTE OF TORAH SEMINARY AND COLLEGE,198,147,BALTIMORE,MD,39.361205281000025,-76.69936846099995,422
3137,BROWN BEAUTY BARBER SCHOOL,52,44,BESSEMER,AL,33.40003432700007,-86.95301693099998,201
3138,JERSEY COLLEGE,-999,-999,TAMPA,FL,27.974865688000023,-82.33753485799997,415
3139,WESTERN MARICOPA EDUCATION CENTER - NORTHEAST CAMPUS,-999,-999,PHOENIX,AZ,33.69009766200003,-112.09442028399997,34
3140,NUC UNIVERSITY - FLORIDA TECHNICAL COLLEGE - CUTLER BAY,-999,-999,CUTLER BAY,FL,25.57483774800005,-80.36909736799998,397
3141,PATHWAYS COLLEGE,22,13,PASADENA,CA,34.15216354700004,-118.07853000199998,15
3142,EAGLE GATE COLLEGE-BOISE CAMPUS,40,22,BOISE,ID,43.59079458700006,-116.29842076899996,79
3143,GEORGE MASON UNIVERSITY,44275,38541,FAIRFAX,VA,38.83088028800006,-77.30793951299995,422
3144,HOWARD UNIVERSITY,13635,10859,WASHINGTON,DC,38.920738810000046,-77.01947807099998,422
3145,TOM P HANEY TECHNICAL CENTER,326,283,PANAMA CITY,FL,30.20336315000003,-85.64658491199998,-1
3146,SALON BOUTIQUE ACADEMY,199,186,ADDISON,TX,32.95481440200007,-96.84166557099996,335
